Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Extracurricular_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Living_Arrangement,Monthly_Budget_ETB,Attendance_Rate_Percent,Stress_Level,GPA
1,1.3,3.6,4.9,0.8,0.3,Dormitory,4721.0,17.4,High,1.7
2,1.6,4.7,5.7,2.1,2.2,Dormitory,1928.0,14.5,High,1.7
3,1.4,4.9,6.3,1.6,2.2,Dormitory,2237.0,24.9,High,1.73
4,2.7,6.3,4.6,2.0,0.8,Dormitory,1675.0,6.5,High,1.73
5,1.6,7.6,7.7,1.4,1.6,Dormitory,3710.0,6.4,High,1.75
6,2.9,5.9,5.2,2.2,0.2,Dormitory,3140.0,2.3,High,1.79
7,2.0,4.6,0.4,0.1,0.3,Dormitory,2327.0,17.1,High,1.8
8,3.8,3.6,4.8,1.8,0.1,Dormitory,2546.0,26.4,High,1.84
9,4.2,6.5,7.6,1.6,0.3,Dormitory,5423.0,0.2,High,1.93
10,1.4,8.5,6.0,1.4,0.5,Dormitory,4741.0,6.8,High,1.95
11,3.9,3.8,7.5,0.1,0.4,With Family,1763.0,34.7,Moderate,1.97
12,1.8,7.6,6.6,2.5,2.2,Dormitory,2362.0,6.0,Moderate,2.01
13,3.0,3.1,7.9,2.8,1.5,With Family,4311.0,7.6,High,2.02
14,2.5,9.4,7.8,0.1,1.5,Dormitory,3164.0,39.1,High,2.06
15,1.8,7.6,4.7,0.0,0.8,Dormitory,2584.0,58.3,High,2.09
16,2.4,3.2,7.0,0.9,1.5,Dormitory,2162.0,51.8,Low,2.09
17,2.4,6.6,7.6,0.3,3.7,With Family,2216.0,26.6,High,2.1
18,2.5,6.3,0.9,0.3,2.8,Dormitory,1628.0,3.8,Moderate,2.11
19,3.8,4.2,5.0,2.3,3.4,Dormitory,3452.0,11.1,High,2.12
20,1.6,3.4,5.5,3.5,2.6,Dormitory,2381.0,9.0,Low,2.12
21,1.1,3.0,7.9,1.9,1.7,With Family,5890.0,5.8,Moderate,2.12
22,2.6,7.0,5.6,3.1,1.6,Dormitory,1932.0,2.3,Low,2.12
23,3.8,5.0,3.6,0.3,3.4,Dormitory,3568.0,17.4,High,2.13
24,1.0,9.3,6.9,2.7,2.1,Dormitory,2364.0,34.2,High,2.13
25,3.3,5.2,7.8,3.2,0.8,With Family,4318.0,3.4,High,2.14
26,6.5,4.3,7.8,0.2,0.2,Dormitory,5720.0,29.2,High,2.14
27,1.6,6.3,3.6,2.4,1.7,Dormitory,2453.0,36.8,High,2.16
28,4.1,5.6,6.3,3.3,0.1,Dormitory,3118.0,39.3,High,2.16
29,1.3,3.3,3.4,3.0,2.4,With Family,3081.0,14.3,High,2.17
30,1.9,9.3,3.7,1.2,1.7,Dormitory,1837.0,16.9,Moderate,2.18
31,2.0,8.4,1.1,0.1,0.4,Dormitory,2369.0,19.2,Moderate,2.18
32,3.3,3.8,3.9,3.8,2.4,Dormitory,1622.0,34.3,High,2.18
33,1.2,3.2,6.1,1.4,2.7,With Family,6698.0,4.4,High,2.19
34,3.0,7.0,7.4,1.6,0.9,Dormitory,4701.0,20.3,Moderate,2.19
35,3.5,3.1,6.5,4.1,0.7,Dormitory,5819.0,5.1,Moderate,2.21
36,1.6,3.9,0.1,0.3,0.3,Dormitory,4196.0,47.5,High,2.21
37,2.5,5.5,6.7,0.1,2.6,Dormitory,8511.0,1.1,High,2.21
38,1.6,5.0,2.3,3.3,1.9,With Family,1989.0,12.3,High,2.22
39,2.1,3.1,3.8,2.9,1.6,Dormitory,7447.0,0.1,High,2.23
40,8.3,4.0,4.9,3.8,1.0,Dormitory,1924.0,10.6,High,2.23
41,4.7,7.8,8.0,1.4,2.8,Dormitory,5123.0,7.6,High,2.24
42,2.0,7.0,7.8,2.7,2.5,Dormitory,3200.0,18.3,Low,2.25
43,2.2,8.0,7.8,0.2,3.4,Dormitory,1949.0,54.3,Moderate,2.26
44,1.2,3.5,1.5,3.1,1.6,Dormitory,3783.0,3.7,Low,2.27
