Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Extracurricular_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Living_Arrangement,Monthly_Budget_ETB,Attendance_Rate_Percent,Stress_Level,GPA
1,11.4,6.7,1.0,3.5,1.4,Dormitory,6137.0,75.1,Low,4.0
2,3.1,9.5,4.4,6.9,0.1,With Family,8859.0,36.2,High,3.38
3,8.4,6.0,6.2,1.0,2.4,With Family,5162.0,22.3,Moderate,3.32
4,4.4,7.4,7.0,1.7,3.5,Dormitory,3321.0,16.1,Moderate,2.63
5,5.4,7.6,1.4,8.6,1.0,Dormitory,7195.0,90.3,High,3.64
6,2.0,8.1,5.2,6.2,2.5,Dormitory,8016.0,4.6,High,2.41
7,4.5,5.6,6.4,5.5,2.0,Dormitory,5343.0,77.9,High,2.75
8,5.4,8.0,2.5,5.9,2.2,With Family,2833.0,42.8,High,2.84
9,10.0,7.5,1.2,2.0,3.3,With Family,2030.0,71.0,Low,4.0
10,9.6,6.2,4.3,2.2,1.7,With Family,1639.0,95.8,High,3.43
11,9.1,6.6,3.1,2.0,3.2,With Family,8051.0,70.3,Low,4.0
12,4.6,7.5,6.8,2.0,3.1,With Family,8705.0,68.1,High,3.35
13,5.2,7.8,0.3,7.3,3.4,Dormitory,8034.0,55.2,High,3.6
14,1.2,6.4,1.5,10.9,4.0,Dormitory,4915.0,81.2,Moderate,3.34
15,8.4,5.0,2.0,5.0,3.6,Dormitory,5608.0,37.5,High,3.09
16,8.4,5.7,5.0,2.0,2.9,Dormitory,2295.0,87.0,Low,3.64
17,5.5,9.8,4.0,3.3,1.4,Dormitory,8299.0,5.3,Low,3.06
18,9.0,3.0,5.8,3.0,3.2,With Family,3609.0,57.7,Low,3.48
19,10.0,7.3,3.6,2.1,1.0,Dormitory,2314.0,23.8,Moderate,3.04
20,2.7,8.8,2.8,6.7,3.0,With Family,8088.0,61.9,Low,4.0
21,3.4,8.6,5.1,5.8,1.1,With Family,4634.0,73.9,Moderate,3.21
22,9.0,3.9,0.3,9.4,1.4,Dormitory,3239.0,41.0,Low,3.07
23,2.8,4.6,7.0,8.1,1.5,With Family,5957.0,66.4,Low,3.05
24,5.6,7.8,6.7,2.6,1.3,With Family,9018.0,97.7,High,3.63
25,5.3,5.4,0.1,11.5,1.7,With Family,2482.0,43.0,Moderate,3.01
26,3.7,8.1,7.9,1.3,3.0,Dormitory,9087.0,25.3,Low,3.15
27,10.2,7.4,2.4,3.3,0.7,With Family,4228.0,6.2,High,3.21
28,3.7,6.6,0.6,11.1,2.0,Dormitory,8141.0,35.0,High,3.04
29,10.0,6.7,3.9,2.1,1.3,Dormitory,6326.0,59.6,Low,3.98
30,8.9,8.5,1.9,2.0,2.7,Dormitory,3239.0,93.6,Moderate,3.99
31,10.6,9.1,2.7,1.0,0.6,Dormitory,6440.0,73.1,Low,4.0
